Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
242,__get_phys_pages,Unknown,36,11,11.55,P-code行數差異顯著; 低相似度
303,_dl_aux_init,Unknown,438,11,2.05,P-code行數差異顯著; 低相似度
913,_dl_call_fini,Unknown,102,178,13.20,P-code行數差異顯著; 低相似度
13,attack_app_proxy,Unknown,1,2,34.84,P-code行數差異顯著; 低相似度
142,alloc_perturb,Unknown,12,4,39.19,P-code行數差異顯著; 低相似度
546,do_lookup_x,Unknown,2202,11,0.34,P-code行數差異顯著; 低相似度
61,table_retrieve_val,Unknown,17,164,6.57,P-code行數差異顯著; 低相似度
426,_IO_default_showmanyc,Unknown,2,306,1.02,P-code行數差異顯著; 低相似度
285,_dl_allocate_tls_storage,Unknown,154,11,6.44,P-code行數差異顯著; 低相似度
634,transcmp,Unknown,60,4,9.86,P-code行數差異顯著; 低相似度
794,_dl_make_stacks_executable,Unknown,402,18,3.70,P-code行數差異顯著; 低相似度
313,__ctype_b_loc,Unknown,9,83,11.39,P-code行數差異顯著; 低相似度
125,__pthread_kill_internal,Unknown,88,126,18.46,P-code行數差異顯著; 低相似度
425,_IO_default_write,Unknown,2,197,1.50,P-code行數差異顯著; 低相似度
875,_dl_check_all_versions,Unknown,21,1636,1.05,P-code行數差異顯著; 低相似度
478,__wcrtomb_internal,Unknown,321,1,0.30,P-code行數差異顯著; 低相似度
96,__sigaction,Unknown,26,9,22.15,P-code行數差異顯著; 低相似度
234,__cp_stat64_t64_stat64,Unknown,191,3,2.07,P-code行數差異顯著; 低相似度
980,__sync_lock_test_and_set_1,Unknown,24,82,4.13,P-code行數差異顯著; 低相似度
71,util_itoa,Unknown,61,17,5.37,P-code行數差異顯著; 低相似度
446,__pthread_disable_asynccancel,Unknown,45,29,23.98,P-code行數差異顯著; 低相似度
841,__printf_buffer_as_file_xsputn,Unknown,34,8,19.82,P-code行數差異顯著; 低相似度
1004,_Unwind_SetGR,Unknown,5,4,34.55,低相似度
982,__sync_lock_release_4,Unknown,6,18,3.93,P-code行數差異顯著; 低相似度
669,__printf_buffer_flush_to_file,Unknown,297,45,4.83,P-code行數差異顯著; 低相似度
642,alias_compare,Unknown,12,966,1.80,P-code行數差異顯著; 低相似度
968,__sync_and_and_fetch_1,Unknown,27,6773,0.26,P-code行數差異顯著; 低相似度
710,_IO_wdefault_pbackfail,Unknown,134,332,22.71,P-code行數差異顯著; 低相似度
785,__readdir64,Unknown,205,205,14.47,低相似度
1023,___Unwind_Resume,Unknown,6,35,9.97,P-code行數差異顯著; 低相似度
773,strcspn,Unknown,144,190,18.05,P-code行數差異顯著; 低相似度
27,attack_tcp_syn,Unknown,1571,20,0.66,P-code行數差異顯著; 低相似度
617,__gconv_compare_alias_cache,Unknown,36,51,24.16,P-code行數差異顯著; 低相似度
508,__tsearch,Unknown,119,5,5.55,P-code行數差異顯著; 低相似度
584,__gconv_release_step,Unknown,85,136,30.11,P-code行數差異顯著; 低相似度
454,___pthread_mutex_lock,Unknown,1236,71,0.83,P-code行數差異顯著; 低相似度
558,_dl_dprintf,Unknown,8,34,28.04,P-code行數差異顯著; 低相似度
338,printf_positional,Unknown,2957,35,0.50,P-code行數差異顯著; 低相似度
139,_dl_tunable_set_mxfast,Unknown,26,2,10.06,P-code行數差異顯著; 低相似度
130,_dl_tunable_set_mmaps_max,Unknown,15,10,32.67,P-code行數差異顯著; 低相似度
927,__aeabi_cdrcmple,Unknown,2,2856,0.04,P-code行數差異顯著; 低相似度
757,__futex_lock_pi64,Unknown,41,726,6.18,P-code行數差異顯著; 低相似度
43,main,Unknown,2990,12,0.43,P-code行數差異顯著; 低相似度
63,toggle_obf,Unknown,78,2045,3.09,P-code行數差異顯著; 低相似度
383,_IO_switch_to_main_get_area,Unknown,24,32,8.86,P-code行數差異顯著; 低相似度
405,_IO_default_sync,Unknown,2,69,2.70,P-code行數差異顯著; 低相似度
664,__printf_buffer_done,Unknown,63,386,7.00,P-code行數差異顯著; 低相似度
759,__nptl_stack_list_add,Unknown,58,25,16.77,P-code行數差異顯著; 低相似度
854,__rewinddir,Unknown,58,38,16.73,P-code行數差異顯著; 低相似度
367,_IO_file_seekoff_maybe_mmap,Unknown,34,63,13.64,P-code行數差異顯著; 低相似度
