file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
202eb5493f4472464474f7e1e0a3c19bb38aee4c03f078c049cfd669914da63c,ARM,gafgyt,22.12962962962963,0,0.6111111111111112,27.074074074074076,28.37037037037037,1.1548641546281329,19.685185185185187,390.2962962962963,55.66666666666666,0.0,0.0,0.0,1.7407407407407407,5.722222222222222,8.944444444444445,3.740740740740741,0,0,508.462962962963,0,1195,0,33,1462,1532,62.36266434991918,1063,21076,3006,0,0,0,94,309,483,202,0,0,27457,0,54
20d0d93b8bb583dd561679ee9d324d06d966c7603a3f43baf3ed52d65131e313,ARM,mirai,10.0,0,1.0,5.0,8.0,1.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,36.0,0,10,0,1,5,8,1.0,8,17,1,0,0,0,0,0,2,0,0,0,36,0,1
20df09109565121bb4091994dcf3be64b2751d7fa57989f034c8407101079b6c,ARM,mirai,13.0,0,0.0,5.0,16.0,1.1428571428571428,14.0,171.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0,218.0,0,13,0,0,5,16,1.1428571428571428,14,171,24,0,0,0,0,0,1,4,0,0,218,0,1
202ac0da3513ed442fb72b80588cc68dc0ae58448d1acb6ed5e990e6723adb2a,ARM,tsunami,15.319444444444445,0,1.1574074074074074,16.24074074074074,22.5,1.1855601733704808,15.083333333333334,90.26851851851852,37.61574074074074,0.0,0.0,0.0,2.7824074074074074,3.0046296296296298,8.375,7.310185185185185,0,0,176.28703703703704,0,3309,0,250,3508,4860,256.0809974480239,3258,19498,8125,0,0,0,601,649,1809,1579,0,0,38078,0,216
204761fa48dd6c561d8f5087ac110e4895a6a953818c05cc35f1edc9895c0f99,ARM,tsunami,12.878116343490303,0,0.7562326869806094,13.54016620498615,17.357340720221607,1.0091033917173169,12.573407202216066,52.56786703601108,20.426592797783933,0.0,0.0,0.0,2.526315789473684,2.595567867036011,6.157894736842105,4.191135734072022,0,0,110.5180055401662,0,4649,0,273,4888,6266,364.2863244099513,4539,18977,7374,0,0,0,912,937,2223,1513,0,0,39897,0,361
209266a51952c125a29662faef597289250e9dbc0b8b051a6f13cab8d5ae532b,ARM,tsunami,14.27450980392157,0,0.1372549019607843,13.31372549019608,16.470588235294116,1.0588029948324067,10.647058823529411,36.45098039215687,15.392156862745098,0.0,0.0,0.0,1.1176470588235294,4.0,6.0,3.4705882352941178,0,0,89.03921568627452,0,728,0,7,679,840,53.998952736452736,543,1859,785,0,0,0,57,204,306,177,0,0,4541,0,51
20c4b74ada24e70f96081de5b2652ff9b036c9408b5f65675539e4d250f1de80,ARM,tsunami,13.543735224586287,0,0.2671394799054373,15.092198581560284,20.418439716312054,1.112389346925808,13.947990543735225,92.56737588652484,27.53191489361702,0.0,0.0,0.0,3.101654846335697,3.2411347517730498,6.302600472813239,2.862884160756501,0,0,158.1678486997636,0,5729,0,113,6384,8637,470.5406937496167,5900,39156,11646,0,0,0,1312,1371,2666,1211,0,0,66905,0,423
201f936de91f80c19d691f7aad9f6822ffa3de796a4ac8b7c8bcd24665a71718,ARM,tsunami,9.319402985074626,0,0.4597014925373134,10.27910447761194,13.32686567164179,1.0298478785919096,9.74776119402985,35.08805970149254,15.32686567164179,0.0,0.0,0.0,2.311940298507462,2.419402985074627,4.456716417910448,2.859701492537313,0,0,77.78955223880597,0,6244,0,308,6887,8929,689.9980786565794,6531,23509,10269,0,0,0,1549,1621,2986,1916,0,0,52119,0,670
e5d224a67ae251dc4e0f072926e19d55dc747b625bdd8c9896f4467aa7d342db,Advanced Micro Devices X86-64,gafgyt,15.081632653061224,0,0.1836734693877551,18.20408163265306,21.346938775510203,1.0543399047952924,15.591836734693878,77.81632653061224,22.285714285714285,0.0,0.0,0.0,1.4489795918367347,1.469387755102041,6.1020408163265305,1.836734693877551,0,0,141.51020408163265,0,739,0,9,892,1046,51.66265533496933,764,3813,1092,0,0,0,71,72,299,90,0,0,6934,0,49
e5b3e96da98a06d579b3b63744ae2b6d1f1ee57a46b85a60a219cf615d7cbbf7,Advanced Micro Devices X86-64,gafgyt,18.3265306122449,0,0.1836734693877551,18.18367346938776,22.428571428571427,1.049883010312525,16.428571428571427,77.61224489795919,25.22448979591837,0.0,0.0,0.0,1.4489795918367347,1.469387755102041,6.142857142857143,2.816326530612245,0,0,148.48979591836735,0,898,0,9,891,1099,51.444267505313725,805,3803,1236,0,0,0,71,72,301,138,0,0,7276,0,49
