Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_inline,0x00043cd4,__gconv_btwoc_ascii,0,0,2,1,7,7,0x00444450,__gconv_btwoc_ascii,0,0,2,1,6,8,0.3,3,10,3,0.4,0
opt_inline,0x0004b228,__gconv_cache_freemem,0,2,0,2,7,24,0x0044c064,__gconv_cache_freemem,0,2,0,2,6,24,0.8571428571428571,6,7,19,0.7916666666666666,0
opt_inline,0x0005c768,__gconv_close,1,2,1,3,11,30,0x00462d70,__gconv_close,1,2,1,3,12,30,0.9166666666666666,11,12,26,0.8666666666666667,0
opt_inline,0x00042b58,__gconv_close_transform,6,6,2,11,20,137,0x00442bd0,__gconv_close_transform,6,5,2,8,18,77,0.8095238095238095,17,21,65,0.6074766355140186,0
opt_inline,0x00042788,__gconv_compare_alias,1,5,2,5,12,49,0x00442724,__gconv_compare_alias,1,5,2,5,13,51,0.9230769230769231,12,13,46,0.92,0
opt_inline,0x0004ad5c,__gconv_compare_alias_cache,1,2,3,3,10,33,0x0044b9ec,__gconv_compare_alias_cache,1,2,3,3,11,33,0.9090909090909091,10,11,27,0.8181818181818182,0
opt_inline,0x00043bf4,__gconv_conf_freemem,0,1,0,1,8,11,0x004442d8,__gconv_conf_freemem,0,1,0,2,7,11,0.6666666666666666,6,9,5,0.45454545454545453,0
opt_inline,0x0005c950,__gconv_create_spec,1,6,3,25,23,277,0x00463060,__gconv_create_spec,1,5,3,26,21,326,0.8333333333333334,20,24,184,0.6102819237147595,0
opt_inline,0x00042ccc,__gconv_db_freemem,0,6,0,3,8,42,0x00442d90,__gconv_db_freemem,0,6,0,3,8,42,1.0,8,8,42,1.0,0
opt_inline,0x0005cc10,__gconv_destroy_spec,1,1,1,0,4,7,0x004633e8,__gconv_destroy_spec,1,1,1,0,4,7,1.0,4,4,7,1.0,0
opt_inline,0x0004b538,__gconv_dl_freemem,0,2,0,0,5,6,0x0044c470,__gconv_dl_freemem,0,2,0,0,5,6,1.0,5,5,6,1.0,0
opt_inline,0x0004b324,__gconv_find_shlib,2,12,1,9,20,202,0x0044c210,__gconv_find_shlib,2,12,1,10,15,153,0.75,15,20,126,0.7098591549295775,0
opt_inline,0x0004285c,__gconv_find_transform,4,9,5,24,18,233,0x00442864,__gconv_find_transform,4,8,5,18,17,164,0.8421052631578947,16,19,148,0.7455919395465995,0
opt_inline,0x00041cc8,__gconv_get_alias_db,0,0,0,0,2,3,0x00441a20,__gconv_get_alias_db,0,0,0,0,2,3,1.0,2,2,3,1.0,0
