ARM Address,ARM Function Name,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
0x000662f0,_IO_getline,2,2,0x0046f254,_IO_getline,2,2,1.0,2,2,2,1.0,0
0x00066198,_IO_getline_info,18,97,0x0046f030,_IO_getline_info,19,108,0.85,17,20,78,0.7609756097560976,0
0x00038744,_IO_init,11,80,0x00432d54,_IO_init,12,77,0.9166666666666666,11,12,71,0.9044585987261147,0
0x000386b0,_IO_init_internal,11,80,0x00432cc8,_IO_init_internal,12,77,0.9166666666666666,11,12,71,0.9044585987261147,0
0x00039744,_IO_init_marker,13,34,0x00433eec,_IO_init_marker,13,45,1.0,13,13,31,0.7848101265822784,0
0x0005ca4c,_IO_init_wmarker,14,37,0x00462404,_IO_init_wmarker,13,49,0.9285714285714286,13,14,34,0.7906976744186046,0
0x00039a90,_IO_iter_begin,3,4,0x004343dc,_IO_iter_begin,3,4,1.0,3,3,4,1.0,0
0x00039aa0,_IO_iter_end,2,2,0x004343fc,_IO_iter_end,2,2,1.0,2,2,2,1.0,0
0x00039ab0,_IO_iter_file,1,1,0x00434410,_IO_iter_file,2,2,0.5,1,2,1,0.6666666666666666,0
0x00039aa8,_IO_iter_next,3,3,0x00434404,_IO_iter_next,3,3,1.0,3,3,3,1.0,0
0x00037ce8,_IO_least_marker,11,24,0x00431ddc,_IO_least_marker,10,22,0.75,9,12,15,0.6521739130434783,0
0x0005bee8,_IO_least_wmarker,12,28,0x004611b8,_IO_least_wmarker,11,25,0.7692307692307693,10,13,20,0.7547169811320755,0
0x000378e4,_IO_link_in,23,677,0x00431a64,_IO_link_in,18,409,0.7083333333333334,17,24,289,0.5322283609576427,0
0x00039ab4,_IO_list_lock,15,78,0x00434418,_IO_list_lock,13,43,0.75,12,16,34,0.5619834710743802,0
0x00039c48,_IO_list_resetlock,2,7,0x00434590,_IO_list_resetlock,2,7,1.0,2,2,7,1.0,0
0x00039b94,_IO_list_unlock,11,57,0x00434504,_IO_list_unlock,12,44,0.6428571428571429,9,14,35,0.693069306930693,0
0x000397e4,_IO_marker_delta,10,25,0x00434008,_IO_marker_delta,9,31,0.9,9,10,23,0.8214285714285714,0
0x000397d4,_IO_marker_difference,4,6,0x00433ff8,_IO_marker_difference,4,6,1.0,4,4,6,1.0,0
0x000354f4,_IO_new_do_write,8,11,0x0042eaac,_IO_new_do_write,8,10,0.6,6,10,7,0.6666666666666666,0
0x0005b438,_IO_new_fclose,22,298,0x004603f0,_IO_new_fclose,23,224,0.8,20,25,158,0.6053639846743295,0
0x00035354,_IO_new_file_attach,20,56,0x0042e868,_IO_new_file_attach,21,57,0.782608695652174,18,23,33,0.584070796460177,0
0x00035518,_IO_new_file_close_it,20,117,0x0042eb04,_IO_new_file_close_it,20,118,1.0,20,20,99,0.8425531914893617,0
0x00035b04,_IO_new_file_finish,17,47,0x0042f278,_IO_new_file_finish,17,47,1.0,17,17,46,0.9787234042553191,0
0x000356a4,_IO_new_file_fopen,24,401,0x0042ed24,_IO_new_file_fopen,25,606,0.8846153846153846,23,26,318,0.631578947368421,0
0x000351fc,_IO_new_file_init,8,22,0x0042e67c,_IO_new_file_init,8,22,1.0,8,8,20,0.9090909090909091,0
0x000351c4,_IO_new_file_init_internal,8,22,0x0042e620,_IO_new_file_init_internal,8,22,1.0,8,8,20,0.9090909090909091,0
0x0003607c,_IO_new_file_overflow,24,182,0x0042f9dc,_IO_new_file_overflow,22,190,0.84,21,25,129,0.6935483870967742,0
0x00036404,_IO_new_file_seekoff,32,576,0x0042fe80,_IO_new_file_seekoff,30,517,0.8235294117647058,28,34,365,0.6678865507776761,0
0x0003544c,_IO_new_file_setbuf,8,20,0x0042e9a8,_IO_new_file_setbuf,9,21,0.7,7,10,17,0.8292682926829268,0
0x00036264,_IO_new_file_sync,19,75,0x0042fc6c,_IO_new_file_sync,21,79,0.9047619047619048,19,21,63,0.8181818181818182,0
0x00035ba4,_IO_new_file_underflow,26,409,0x0042f37c,_IO_new_file_underflow,24,334,0.8518518518518519,23,27,253,0.6810228802153432,0
0x00036c24,_IO_new_file_write,19,63,0x004309fc,_IO_new_file_write,19,68,0.9,18,20,50,0.7633587786259542,0
0x00036cc4,_IO_new_file_xsputn,21,144,0x00430b08,_IO_new_file_xsputn,22,155,0.8695652173913043,20,23,109,0.7290969899665551,0
0x0005b914,_IO_new_fopen,3,3,0x00460a08,_IO_new_fopen,3,3,1.0,3,3,3,1.0,0
0x000388ac,_IO_no_init,12,125,0x00432ec4,_IO_no_init,13,123,0.9230769230769231,12,13,110,0.8870967741935484,0
0x0003882c,_IO_old_init,11,71,0x00432e44,_IO_old_init,12,68,0.9166666666666666,11,12,65,0.935251798561151,0
0x00039798,_IO_remove_marker,10,27,0x00433fa8,_IO_remove_marker,10,28,1.0,10,10,24,0.8727272727272727,0
0x00039818,_IO_seekmark,13,67,0x00434064,_IO_seekmark,13,67,1.0,13,13,59,0.8805970149253731,0
0x0005cae8,_IO_seekwmark,13,73,0x00462534,_IO_seekwmark,13,73,1.0,13,13,61,0.8356164383561644,0
0x00038190,_IO_setb,12,26,0x00432490,_IO_setb,12,30,1.0,12,12,19,0.6785714285714286,0
0x000383ec,_IO_sgetn,11,17,0x0043285c,_IO_sgetn,11,17,1.0,11,11,17,1.0,0
0x00038a1c,_IO_sputbackc,18,40,0x00433090,_IO_sputbackc,18,40,0.8947368421052632,17,19,34,0.85,0
0x0005c908,_IO_sputbackwc,17,36,0x00462230,_IO_sputbackwc,17,37,1.0,17,17,33,0.9041095890410958,0
0x000103c0,_IO_stdfiles_init,11,25,0x004008d4,_IO_stdfiles_init,10,23,0.9090909090909091,10,11,18,0.75,0
0x0003a158,_IO_str_count,8,16,0x00434ce0,_IO_str_count,9,15,0.8888888888888888,8,9,9,0.5806451612903226,0
0x0003a454,_IO_str_finish,10,15,0x00435148,_IO_str_finish,9,18,0.9,9,10,14,0.8484848484848485,0
0x00039f14,_IO_str_init_readonly,14,50,0x0043497c,_IO_str_init_readonly,15,53,0.8125,13,16,47,0.912621359223301,0
0x00039e8c,_IO_str_init_static,14,52,0x004348a0,_IO_str_init_static,14,54,0.75,12,16,49,0.9245283018867925,0
0x00039e08,_IO_str_init_static_internal,12,50,0x004347d0,_IO_str_init_static_internal,13,50,0.9230769230769231,12,13,49,0.98,0
0x00039f90,_IO_str_overflow,22,139,0x00434a40,_IO_str_overflow,23,137,0.9565217391304348,22,23,94,0.6811594202898551,0
0x0003a434,_IO_str_pbackfail,14,17,0x00435104,_IO_str_pbackfail,8,11,0.5714285714285714,8,14,8,0.5714285714285714,0
0x0003a174,_IO_str_seekoff,27,289,0x00434d08,_IO_str_seekoff,27,286,0.8,24,30,189,0.6573913043478261,0
0x0003a114,_IO_str_underflow,12,42,0x00434c6c,_IO_str_underflow,13,41,0.9230769230769231,12,13,24,0.5783132530120482,0
0x00038aac,_IO_sungetc,17,35,0x0043315c,_IO_sungetc,18,37,0.9444444444444444,17,18,34,0.9444444444444444,0
0x0005c994,_IO_sungetwc,16,35,0x004622fc,_IO_sungetwc,16,35,1.0,16,16,34,0.9714285714285714,0
0x00037d4c,_IO_switch_to_backup_area,5,24,0x00431e58,_IO_switch_to_backup_area,5,24,1.0,5,5,21,0.875,0
0x00037d80,_IO_switch_to_get_mode,17,55,0x00431e8c,_IO_switch_to_get_mode,17,56,1.0,17,17,51,0.918918918918919,0
0x00037d18,_IO_switch_to_main_get_area,5,24,0x00431e20,_IO_switch_to_main_get_area,5,24,1.0,5,5,21,0.875,0
0x0005bf20,_IO_switch_to_main_wget_area,5,26,0x00461204,_IO_switch_to_main_wget_area,5,26,1.0,5,5,23,0.8846153846153846,0
0x0005bf58,_IO_switch_to_wbackup_area,5,26,0x00461240,_IO_switch_to_wbackup_area,5,26,1.0,5,5,22,0.8461538461538461,0
0x0005c4b0,_IO_switch_to_wget_mode,12,53,0x00461b34,_IO_switch_to_wget_mode,12,54,1.0,12,12,48,0.897196261682243,0
0x000378d4,_IO_un_link,7,9,0x004316b8,_IO_un_link,17,390,0.4117647058823529,7,17,8,0.040100250626566414,0
0x000398c8,_IO_unsave_markers,10,39,0x00434118,_IO_unsave_markers,11,39,0.9090909090909091,10,11,32,0.8205128205128205,0
0x0005cba8,_IO_unsave_wmarkers,11,52,0x00462604,_IO_unsave_wmarkers,11,51,1.0,11,11,46,0.8932038834951457,0
0x00034bdc,_IO_vtable_check,1,1,0x0042dec0,_IO_vtable_check,1,1,1.0,1,1,1,1.0,0
0x0005c448,_IO_wdefault_doallocate,14,35,0x00461a64,_IO_wdefault_doallocate,14,35,1.0,14,14,32,0.9142857142857143,0
0x0005c148,_IO_wdefault_finish,12,41,0x00461520,_IO_wdefault_finish,12,41,1.0,12,12,40,0.975609756097561,0
0x0005bfec,_IO_wdefault_pbackfail,21,134,0x0046132c,_IO_wdefault_pbackfail,21,156,0.9090909090909091,20,22,87,0.6,0
0x0005c1c8,_IO_wdefault_uflow,16,25,0x004615ec,_IO_wdefault_uflow,15,27,0.9375,15,16,23,0.8846153846153846,0
0x0005c824,_IO_wdefault_xsgetn,19,93,0x004620b4,_IO_wdefault_xsgetn,19,106,0.9,18,20,76,0.7638190954773869,0
0x0005c288,_IO_wdefault_xsputn,21,99,0x00461770,_IO_wdefault_xsputn,20,122,0.9523809523809523,20,21,59,0.5339366515837104,0
0x0005cd14,_IO_wdo_write,20,127,0x00462808,_IO_wdo_write,21,126,0.8636363636363636,19,22,83,0.6561264822134387,0
0x0005c3b8,_IO_wdoallocbuf,14,57,0x0046196c,_IO_wdoallocbuf,14,57,1.0,14,14,53,0.9298245614035088,0
0x0005d774,_IO_wfile_overflow,21,250,0x00463588,_IO_wfile_overflow,19,242,0.8181818181818182,18,22,199,0.8089430894308943,0
0x0005dba0,_IO_wfile_seekoff,32,937,0x00463aec,_IO_wfile_seekoff,31,921,0.8529411764705882,29,34,581,0.6254036598493004,0
0x0005da0c,_IO_wfile_sync,20,132,0x004638c4,_IO_wfile_sync,21,130,0.8636363636363636,19,22,94,0.7175572519083969,0
0x0005ce7c,_IO_wfile_underflow,29,900,0x004629f4,_IO_wfile_underflow,25,904,0.8,24,30,602,0.6674057649667405,0
0x0005d748,_IO_wfile_underflow_maybe_mmap,7,12,0x00463520,_IO_wfile_underflow_maybe_mmap,7,12,0.75,6,8,10,0.8333333333333334,0
0x0005d5e4,_IO_wfile_underflow_mmap,17,125,0x00463330,_IO_wfile_underflow_mmap,19,133,0.8947368421052632,17,19,107,0.8294573643410853,0
0x0005e454,_IO_wfile_xsputn,20,117,0x00464660,_IO_wfile_xsputn,21,132,0.9523809523809523,20,21,93,0.7469879518072289,0
0x0005caa8,_IO_wmarker_delta,11,28,0x004624cc,_IO_wmarker_delta,10,35,0.9090909090909091,10,11,26,0.8253968253968254,0
0x0005bf90,_IO_wsetb,12,31,0x00461278,_IO_wsetb,12,35,1.0,12,12,23,0.696969696969697,0
0x0006f0f4,_Unwind_DebugHook,1,1,0x0047c320,_Unwind_DebugHook,1,1,1.0,1,1,1,1.0,0
0x0006f3e0,_Unwind_DeleteException,6,7,0x0047c918,_Unwind_DeleteException,6,7,0.7142857142857143,5,7,5,0.7142857142857143,0
0x0006f278,_Unwind_GetCFA,4,4,0x0047c0a4,_Unwind_GetCFA,4,4,0.6,3,5,2,0.5,0
0x000103b0,_Unwind_GetDataRelBase,2,2,0x0047c1dc,_Unwind_GetDataRelBase,4,5,0.2,1,5,1,0.2857142857142857,0
0x0006f454,_Unwind_GetGR,5,6,0x0047afc8,_Unwind_GetGR,12,28,0.21428571428571427,3,14,2,0.11764705882352941,0
0x0007032c,_Unwind_GetLanguageSpecificData,8,12,0x0047c180,_Unwind_GetLanguageSpecificData,3,3,0.375,3,8,3,0.4,0
0x0007031c,_Unwind_GetRegionStart,4,5,0x0047c18c,_Unwind_GetRegionStart,4,5,0.6,3,5,4,0.8,0
0x000103b8,_Unwind_GetTextRelBase,2,2,0x0047c1e8,_Unwind_GetTextRelBase,4,5,0.2,1,5,1,0.2857142857142857,0
0x0006f4dc,_Unwind_SetGR,5,5,0x0047c0b0,_Unwind_SetGR,13,30,0.2,3,15,2,0.11428571428571428,0
0x0001fe90,____strtol_l_internal,27,444,0x004130e0,____strtol_l_internal,27,499,0.8,24,30,258,0.5471898197242842,0
0x0002eefc,____strtoul_l_internal,25,409,0x00426180,____strtoul_l_internal,26,467,0.8214285714285714,23,28,247,0.5639269406392694,0
0x00057514,___asprintf,6,8,0x0045b090,___asprintf,5,7,0.8333333333333334,5,6,7,0.9333333333333333,0
0x0006be18,___dlmopen,8,15,0x00476548,___dlmopen,9,19,0.5454545454545454,6,11,13,0.7647058823529411,0
0x0006bf78,___dlopen,8,13,0x00476700,___dlopen,9,17,0.5454545454545454,6,11,11,0.7333333333333333,0
0x0006c030,___dlsym,9,27,0x0047684c,___dlsym,10,32,0.7272727272727273,8,11,24,0.8135593220338984,0
0x0006c108,___dlvsym,9,31,0x004769d4,___dlvsym,10,36,0.7272727272727273,8,11,28,0.835820895522388,0
0x00059d18,___printf_fp,9,31,0x0045e5d4,___printf_fp,11,29,0.8181818181818182,9,11,23,0.7666666666666667,0
0x0003aec4,___pthread_mutex_lock,24,456,0x00435e00,___pthread_mutex_lock,22,309,0.7692307692307693,20,26,239,0.6248366013071895,0
0x0003b9f0,___pthread_mutex_unlock,3,3,0x00436a5c,___pthread_mutex_unlock,3,3,1.0,3,3,3,1.0,0
0x0003bbf8,___pthread_once,8,11,0x00436d4c,___pthread_once,9,11,0.8888888888888888,8,9,9,0.8181818181818182,0
0x0005f3bc,___pthread_rwlock_init,15,30,0x004659b0,___pthread_rwlock_init,14,24,0.8125,13,16,16,0.5925925925925926,0
0x0005f40c,___pthread_rwlock_rdlock,27,197,0x00465a30,___pthread_rwlock_rdlock,22,183,0.75,21,28,126,0.6631578947368421,0
0x0005f6e0,___pthread_rwlock_unlock,21,180,0x00465d90,___pthread_rwlock_unlock,19,118,0.7391304347826086,17,23,78,0.5234899328859061,0
0x0005f960,___pthread_rwlock_wrlock,28,332,0x00466070,___pthread_rwlock_wrlock,23,322,0.8214285714285714,23,28,187,0.5718654434250765,0
0x0005ec38,___vsnprintf,11,36,0x004650d8,___vsnprintf,11,35,0.8333333333333334,10,12,26,0.7323943661971831,0
0x0002e7f4,__add_to_environ,20,288,0x00425870,__add_to_environ,18,226,0.8095238095238095,17,21,177,0.688715953307393,0
0x00028710,__alloc_dir,13,54,0x0041d81c,__alloc_dir,14,64,0.8,12,15,43,0.7288135593220338,0
0x0005fe4c,__argz_add_sep,15,59,0x00466670,__argz_add_sep,15,53,0.875,14,16,40,0.7142857142857143,0
0x0005ff10,__argz_create_sep,16,50,0x00466790,__argz_create_sep,16,53,0.8823529411764706,15,17,32,0.6213592233009708,0
0x0006c21c,__atomic_wide_counter_fetch_add_relaxed,14,31,0x00476bc0,__atomic_wide_counter_fetch_add_relaxed,14,36,0.75,12,16,21,0.6268656716417911,0
0x0006c274,__atomic_wide_counter_load_relaxed,14,23,0x00476c24,__atomic_wide_counter_load_relaxed,16,36,0.5789473684210527,11,19,16,0.5423728813559322,0
0x0002b680,__bind,7,8,0x00421950,__bind,7,9,0.4,4,10,5,0.5882352941176471,0
0x0002a6d4,__brk,3,5,0x004201c0,__brk,11,20,0.2727272727272727,3,11,5,0.4,0
0x0001f2b8,__bsd_signal,20,63,0x004123f0,__bsd_signal,20,64,0.9047619047619048,19,21,40,0.6299212598425197,0
0x00029900,__chdir,7,9,0x0041efd0,__chdir,7,9,0.4,4,10,5,0.5555555555555556,0
0x0003ed7c,__chk_fail,3,3,0x0043b2d0,__chk_fail,3,3,1.0,3,3,3,1.0,0
0x0002ece8,__clearenv,16,83,0x00425ee8,__clearenv,12,47,0.6470588235294118,11,17,36,0.5538461538461539,0
0x00028538,__clock_gettime,11,21,0x0041d4d8,__clock_gettime,12,22,0.9166666666666666,11,12,19,0.8837209302325582,0
0x00028408,__clock_gettime64,18,106,0x0041d3a0,__clock_gettime64,17,106,0.9444444444444444,17,18,82,0.7735849056603774,0
0x0006070c,__clock_nanosleep,14,46,0x0046744c,__clock_nanosleep,11,35,0.5625,9,16,16,0.3950617283950617,0
0x00060668,__clock_nanosleep_time64,10,25,0x00467370,__clock_nanosleep_time64,12,28,0.5714285714285714,8,14,17,0.6415094339622641,0
0x0002991c,__close,14,44,0x0041f010,__close,17,47,0.8235294117647058,14,17,27,0.5934065934065934,0
0x0002a2b8,__close_nocancel,11,14,0x0041fd60,__close_nocancel,8,11,0.5833333333333334,7,12,8,0.64,0
0x0002859c,__closedir,9,13,0x0041d580,__closedir,10,13,0.9,9,10,12,0.9230769230769231,0
0x000204e0,__correctly_grouped_prefixmb,18,120,0x00413840,__correctly_grouped_prefixmb,17,143,0.75,15,20,78,0.5931558935361216,0
0x0002a5b8,__cp_stat64_t64_stat64,12,161,0x00420080,__cp_stat64_t64_stat64,15,158,0.8,12,15,116,0.7272727272727273,0
0x0002e5e8,__ctype_b_loc,4,4,0x00425610,__ctype_b_loc,4,4,0.6,3,5,3,0.75,0
0x0002e644,__ctype_init,7,27,0x00425670,__ctype_init,7,27,0.75,6,8,20,0.7407407407407407,0
0x0002e624,__ctype_tolower_loc,4,4,0x00425650,__ctype_tolower_loc,4,4,0.3333333333333333,2,6,1,0.25,0
0x0002e604,__ctype_toupper_loc,4,4,0x00425630,__ctype_toupper_loc,4,4,0.3333333333333333,2,6,1,0.25,0
0x00064658,__current_locale_name,8,11,0x0046c8a0,__current_locale_name,7,10,0.6666666666666666,6,9,8,0.7619047619047619,0
0x0001f93c,__cxa_atexit,3,3,0x00412bcc,__cxa_atexit,3,3,1.0,3,3,3,1.0,0
0x00052178,__dcgettext,2,2,0x004543d0,__dcgettext,2,2,1.0,2,2,2,1.0,0
0x00052da8,__dcigettext,26,2057,0x00455454,__dcigettext,24,2344,0.7857142857142857,22,28,1824,0.8289025221540559,0
0x0006a860,__dl_find_object,24,954,0x0047489c,__dl_find_object,22,680,0.84,21,25,580,0.7099143206854345,0
0x00061e7c,__dl_libc_freemem,13,249,0x00469338,__dl_libc_freemem,13,261,1.0,13,13,235,0.9215686274509803,0
0x0006b77c,__dladdr,2,2,0x00475c60,__dladdr,2,2,1.0,2,2,2,1.0,0
0x0006b788,__dladdr1,8,13,0x00475c80,__dladdr1,8,13,1.0,8,8,13,1.0,0
0x0006b7b0,__dlclose,8,9,0x00475cd0,__dlclose,7,7,0.6666666666666666,6,9,6,0.75,0
0x0006b7d8,__dlerror,16,128,0x00475d10,__dlerror,17,125,0.9411764705882353,16,17,109,0.8616600790513834,0
0x0006bcd4,__dlinfo,5,13,0x004763c8,__dlinfo,5,13,1.0,5,5,13,1.0,0
0x0006bdd0,__dlmopen,8,15,0x004764d4,__dlmopen,9,19,0.5454545454545454,6,11,13,0.7647058823529411,0
0x0006bf34,__dlopen,8,15,0x00476698,__dlopen,7,16,0.6666666666666666,6,9,13,0.8387096774193549,0
0x0006bfd0,__dlsym,9,31,0x004767bc,__dlsym,9,31,0.8,8,10,28,0.9032258064516129,0
0x0006c0a8,__dlvsym,9,35,0x00476940,__dlvsym,9,35,0.8,8,10,32,0.9142857142857143,0
0x000104bc,__do_global_dtors_aux,6,10,0x004009fc,__do_global_dtors_aux,8,11,0.75,6,8,7,0.6666666666666666,0
0x0001f284,__errno_location,4,4,0x004123a0,__errno_location,5,7,0.2857142857142857,2,7,2,0.36363636363636365,0
0x0002a2fc,__fcntl64_nocancel,15,34,0x0041fe90,__fcntl64_nocancel,2,2,0.13333333333333333,2,15,1,0.05555555555555555,0
0x0002a3b8,__fcntl64_nocancel_adjusted,16,36,0x0041fdc0,__fcntl64_nocancel_adjusted,13,26,0.8125,13,16,15,0.4838709677419355,0
0x00066a78,__fdopendir,14,37,0x0046fd20,__fdopendir,15,38,0.9333333333333333,14,15,33,0.88,0
0x0005ecc4,__fgets_unlocked,18,46,0x004651a0,__fgets_unlocked,19,44,0.9473684210526315,18,19,36,0.8,0
0x0005b82c,__fopen_internal,14,70,0x0046089c,__fopen_internal,14,70,1.0,14,14,66,0.9428571428571428,0
0x0005b7c4,__fopen_maybe_mmap,12,30,0x00460820,__fopen_maybe_mmap,12,29,0.8461538461538461,11,13,25,0.847457627118644,0
0x0003ed90,__fortify_fail,3,3,0x0043b300,__fortify_fail,3,3,1.0,3,3,3,1.0,0
0x0002fbcc,__fprintf,6,9,0x004270c0,__fprintf,6,8,1.0,6,6,8,0.9411764705882353,0
0x00029cb4,__fstat64,12,21,0x0041f4b4,__fstat64,13,19,0.9230769230769231,12,13,14,0.7,0
0x00029c70,__fstat64_time64,9,13,0x0041f470,__fstat64_time64,10,12,0.7272727272727273,8,11,9,0.72,0
0x00029f50,__fstatat64,9,11,0x0041f7fc,__fstatat64,9,10,1.0,9,9,10,0.9523809523809523,0
0x00029d30,__fstatat64_time64,19,131,0x0041f560,__fstatat64_time64,21,158,0.8181818181818182,18,22,95,0.657439446366782,0
0x00057544,__funlockfile,15,45,0x0045b0e0,__funlockfile,12,33,0.6875,11,16,25,0.6410256410256411,0
0x0005edf4,__futex_abstimed_wait64,17,45,0x004654f0,__futex_abstimed_wait64,2,2,0.11764705882352941,2,17,2,0.0851063829787234,0
0x0005eea4,__futex_abstimed_wait_cancelable64,20,59,0x00465534,__futex_abstimed_wait_cancelable64,2,2,0.1,2,20,2,0.06557377049180328,0
0x0005efc4,__futex_lock_pi64,14,29,0x0046557c,__futex_lock_pi64,14,26,0.75,12,16,18,0.6545454545454545,0
