ARM Address,ARM Function Name,MIPS Address,MIPS Function Name,Similarity Score,Intersection Size,Union Size,UserDefined
0x0002a3b8,__fcntl64_nocancel_adjusted,0x0041fdc0,__fcntl64_nocancel_adjusted,0.8125,13,16,0
0x00066a78,__fdopendir,0x0046fd20,__fdopendir,0.9333333333333333,14,15,0
0x0005ecc4,__fgets_unlocked,0x004651a0,__fgets_unlocked,0.9473684210526315,18,19,0
0x0005b82c,__fopen_internal,0x0046089c,__fopen_internal,1.0,14,14,0
0x0005b7c4,__fopen_maybe_mmap,0x00460820,__fopen_maybe_mmap,0.8461538461538461,11,13,0
0x0003ed90,__fortify_fail,0x0043b300,__fortify_fail,1.0,3,3,0
0x0002fbcc,__fprintf,0x004270c0,__fprintf,1.0,6,6,0
0x00029cb4,__fstat64,0x0041f4b4,__fstat64,0.9230769230769231,12,13,0
0x00029c70,__fstat64_time64,0x0041f470,__fstat64_time64,0.7272727272727273,8,11,0
0x00029f50,__fstatat64,0x0041f7fc,__fstatat64,1.0,9,9,0
0x00029d30,__fstatat64_time64,0x0041f560,__fstatat64_time64,0.8181818181818182,18,22,0
0x00057544,__funlockfile,0x0045b0e0,__funlockfile,0.6875,11,16,0
0x0005edf4,__futex_abstimed_wait64,0x004654f0,__futex_abstimed_wait64,0.11764705882352941,2,17,0
0x0005eea4,__futex_abstimed_wait_cancelable64,0x00465534,__futex_abstimed_wait_cancelable64,0.1,2,20,0
0x0005efc4,__futex_lock_pi64,0x0046557c,__futex_lock_pi64,0.75,12,16,0
0x00070630,__gcc_personality_v0,0x004801f4,__gcc_personality_v0,0.7894736842105263,15,19,0
0x00062338,__gconv,0x004698f0,__gconv,0.8571428571428571,18,21,0
0x00047944,__gconv_alias_compare,0x00448580,__gconv_alias_compare,1.0,3,3,0
0x00049aa4,__gconv_btwoc_ascii,0x0044b260,__gconv_btwoc_ascii,0.3,3,10,0
0x00050ff8,__gconv_cache_freemem,0x00452e74,__gconv_cache_freemem,0.8571428571428571,6,7,0
0x00062538,__gconv_close,0x00469b80,__gconv_close,0.9166666666666666,11,12,0
0x00048928,__gconv_close_transform,0x004499e0,__gconv_close_transform,0.8095238095238095,17,21,0
0x00048558,__gconv_compare_alias,0x00449534,__gconv_compare_alias,0.9230769230769231,12,13,0
0x00050b2c,__gconv_compare_alias_cache,0x004527fc,__gconv_compare_alias_cache,0.9090909090909091,10,11,0
0x000499c4,__gconv_conf_freemem,0x0044b0e8,__gconv_conf_freemem,0.6666666666666666,6,9,0
0x00062720,__gconv_create_spec,0x00469e70,__gconv_create_spec,0.8333333333333334,20,24,0
0x00048a9c,__gconv_db_freemem,0x00449ba0,__gconv_db_freemem,1.0,8,8,0
0x000629e0,__gconv_destroy_spec,0x0046a1f8,__gconv_destroy_spec,1.0,4,4,0
0x00051308,__gconv_dl_freemem,0x00453280,__gconv_dl_freemem,1.0,5,5,0
0x000510f4,__gconv_find_shlib,0x00453020,__gconv_find_shlib,0.75,15,20,0
0x0004862c,__gconv_find_transform,0x00449674,__gconv_find_transform,0.8421052631578947,16,19,0
0x00047a98,__gconv_get_alias_db,0x00448830,__gconv_get_alias_db,1.0,2,2,0
0x000499f0,__gconv_get_builtin_trans,0x0044b140,__gconv_get_builtin_trans,1.0,13,13,0
0x0005091c,__gconv_get_cache,0x0045253c,__gconv_get_cache,1.0,2,2,0
0x00047a88,__gconv_get_modules_db,0x00448810,__gconv_get_modules_db,1.0,2,2,0
0x00048b38,__gconv_get_path,0x00449c90,__gconv_get_path,0.9545454545454546,21,22,0
0x0005092c,__gconv_load_cache,0x0045255c,__gconv_load_cache,1.0,19,19,0
0x000499a4,__gconv_load_conf,0x0044b0c4,__gconv_load_conf,1.0,3,3,0
0x00050bbc,__gconv_lookup_cache,0x004528cc,__gconv_lookup_cache,0.9130434782608695,21,23,0
0x00061fdc,__gconv_open,0x004694f0,__gconv_open,0.8461538461538461,22,26,0
0x00049698,__gconv_read_conf,0x0044ac04,__gconv_read_conf,0.8636363636363636,19,22,0
0x00050fdc,__gconv_release_cache,0x00452e38,__gconv_release_cache,0.7142857142857143,5,7,0
0x000512e4,__gconv_release_shlib,0x00453258,__gconv_release_shlib,1.0,5,5,0
0x00047aac,__gconv_release_step,0x00448850,__gconv_release_step,0.8,12,15,0
0x0004b344,__gconv_transform_ascii_internal,0x0044cd5c,__gconv_transform_ascii_internal,0.9230769230769231,24,26,0
0x0004b7ac,__gconv_transform_internal_ascii,0x0044d1f0,__gconv_transform_internal_ascii,0.0,0,29,0
0x0004e3e8,__gconv_transform_internal_ucs2,0x0044fde0,__gconv_transform_internal_ucs2,0.0,0,29,0
0x0004f744,__gconv_transform_internal_ucs2reverse,0x004511b4,__gconv_transform_internal_ucs2reverse,0.0,0,29,0
0x00049ab4,__gconv_transform_internal_ucs4,0x0044b280,__gconv_transform_internal_ucs4,0.7058823529411765,24,34,0
0x0004a744,__gconv_transform_internal_ucs4le,0x0044bec8,__gconv_transform_internal_ucs4le,0.7419354838709677,23,31,0
0x0004c2f0,__gconv_transform_internal_utf8,0x0044dce8,__gconv_transform_internal_utf8,0.896551724137931,26,29,0
0x0004dc70,__gconv_transform_ucs2_internal,0x0044f68c,__gconv_transform_ucs2_internal,0.9285714285714286,26,28,0
0x0004efb0,__gconv_transform_ucs2reverse_internal,0x004509f8,__gconv_transform_ucs2reverse_internal,0.9655172413793104,28,29,0
0x0004a080,__gconv_transform_ucs4_internal,0x0044b838,__gconv_transform_ucs4_internal,0.0,0,31,0
0x0004ac48,__gconv_transform_ucs4le_internal,0x0044c560,__gconv_transform_ucs4le_internal,0.8064516129032258,25,31,0
0x0004cf58,__gconv_transform_utf8_internal,0x0044e970,__gconv_transform_utf8_internal,0.9666666666666667,29,30,0
0x0005031c,__gconv_transliterate,0x00451e00,__gconv_transliterate,0.7692307692307693,20,26,0
0x0002abe0,__get_avphys_pages,0x004209b0,__get_avphys_pages,0.8,12,15,0
0x0006c1f4,__get_child_max,0x00476b60,__get_child_max,0.8181818181818182,9,11,0
0x0005b2bc,__get_errlist,0x004601d0,__get_errlist,1.0,9,9,0
0x00033a8c,__get_errname,0x0042c720,__get_errname,1.0,12,12,0
0x0002ab0c,__get_nprocs,0x004207c8,__get_nprocs,0.8571428571428571,6,7,0
0x0002ab44,__get_nprocs_conf,0x0042085c,__get_nprocs_conf,0.8571428571428571,6,7,0
0x0002aac0,__get_nprocs_sched,0x00420750,__get_nprocs_sched,0.23076923076923078,3,13,0
0x0002ab7c,__get_phys_pages,0x004208f0,__get_phys_pages,0.8,12,15,0
0x0006719c,__getclktck,0x00470560,__getclktck,0.5,3,6,0
0x00060970,__getcwd,0x004676e0,__getcwd,0.7586206896551724,22,29,0
0x0005b91c,__getdelim,0x00460a30,__getdelim,0.8461538461538461,22,26,0
0x0003dbf4,__getdents,0x00439990,__getdents,0.8076923076923077,21,26,0
0x0003dd44,__getdents64,0x00439b60,__getdents64,0.38461538461538464,5,13,0
0x000671c4,__getdtablesize,0x004705a0,__getdtablesize,0.8888888888888888,8,9,0
0x0003e1b8,__getpagesize,0x0043a230,__getpagesize,1.0,6,6,0
0x00028e80,__getpid,0x0041e240,__getpid,0.6666666666666666,2,3,0
0x00028ea0,__getppid,0x0041e260,__getppid,0.6666666666666666,2,3,0
0x0002b770,__getsockname,0x00421ad0,__getsockname,0.4,4,10,0
0x0002b790,__getsockopt,0x00421b10,__getsockopt,0.8461538461538461,11,13,0
0x00056b08,__gettext_extract_plural,0x0045a280,__gettext_extract_plural,0.9090909090909091,20,22,0
0x0005616c,__gettext_free_exp,0x00459660,__gettext_free_exp,1.0,9,9,0
0x000561bc,__gettextparse,0x00459720,__gettextparse,0.8928571428571429,25,28,0
0x00025564,__glibc_morecore,0x004195c4,__glibc_morecore,0.75,6,8,0
0x000575f4,__grouping_iterator_init,0x0045b1b0,__grouping_iterator_init,0.7083333333333334,17,24,0
0x000575c8,__grouping_iterator_init_none,0x0045b170,__grouping_iterator_init_none,0.5714285714285714,4,7,0
0x000576e0,__grouping_iterator_next,0x0045b308,__grouping_iterator_next,0.631578947368421,12,19,0
0x0005ab7c,__handle_registered_modifier_mb,0x0045f820,__handle_registered_modifier_mb,1.0,19,19,0
0x0005acb8,__handle_registered_modifier_wc,0x0045f988,__handle_registered_modifier_wc,0.9473684210526315,18,19,0
0x00056c0c,__hash_string,0x0045a400,__hash_string,0.9333333333333333,14,15,0
0x0002bdf0,__inet_addr,0x00422594,__inet_addr,0.875,7,8,0
0x0002bd98,__inet_aton_exact,0x004224d8,__inet_aton_exact,0.8333333333333334,10,12,0
0x0002bdd8,__inet_aton_ignore_trailing,0x0042255c,__inet_aton_ignore_trailing,1.0,4,4,0
0x0003ed34,__init_misc,0x0043b240,__init_misc,0.9,9,10,0
0x0003bc30,__init_sched_fifo_prio,0x00436da0,__init_sched_fifo_prio,1.0,4,4,0
0x0001f7cc,__internal_atexit,0x00412a50,__internal_atexit,0.6666666666666666,12,18,0
0x000535bc,__intl_freemem,0x00455e20,__intl_freemem,1.0,9,9,0
0x0002ac44,__ioctl,0x00420a80,__ioctl,0.375,6,16,0
